,date,FTR,bk_H,bk_D,bk_A,Prob_bk_H,Prob_bk_D,Prob_bk_A,possession_h_moy,possession_a_moy,points_h,points_a,points_h_last_5,points_a_last_5,total_goals_h,total_goals_a,total_goals_taken_h,total_goals_taken_a,total_ontarget_h,total_ontarget_a,total_shot_off_target_h,total_shot_off_target_a,total_blocked_scoring_att_h,total_blocked_scoring_att_a,mean_rating_home,mean_rating_away,H_Arsenal,H_Bournemouth,H_Brighton,H_Burnley,H_Chelsea,H_Crystal Palace,H_Everton,H_Huddersfield,H_Leicester,H_Liverpool,H_Man City,H_Man United,H_Southampton,H_Stoke,H_Swansea,H_Tottenham,H_Watford,H_West Brom,H_West Ham,A_Arsenal,A_Bournemouth,A_Brighton,A_Burnley,A_Chelsea,A_Crystal Palace,A_Everton,A_Huddersfield,A_Leicester,A_Liverpool,A_Man City,A_Man United,A_Southampton,A_Stoke,A_Swansea,A_Tottenham,A_Watford,A_West Brom,A_West Ham
232,2018-04-02,1,2.2,3.84,3.81,0.455,0.26,0.262,58.48,65.2,49,45,12,11,56,47,28,22,160,139,220,94,115,125,7.01,6.95,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
233,2018-05-02,0,6.95,4.5,1.64,0.144,0.222,0.61,52.12,56.28,24,47,2,8,30,42,44,18,70,148,194,70,74,109,6.65,7.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,2018-10-02,0,2.3,3.32,4.09,0.435,0.301,0.244,43.82,48.36,28,26,4,8,28,23,45,37,72,92,142,84,62,89,6.63,6.75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
235,2018-10-02,0,1.25,7.4,17.0,0.8,0.135,0.059,62.21,47.02,63,32,8,8,70,35,18,33,178,87,194,50,97,75,7.16,6.77,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
236,2018-10-02,1,2.43,3.27,3.8,0.412,0.306,0.263,41.36,47.81,24,23,4,5,25,20,49,35,88,67,149,58,64,69,6.7,6.65,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,2018-10-02,0,2.5,3.1,3.71,0.4,0.323,0.27,41.81,46.05,23,32,10,2,18,19,35,22,50,75,126,61,60,57,6.59,6.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,2018-10-02,0,2.2,3.9,4.07,0.455,0.256,0.246,61.53,63.02,46,42,9,7,49,50,24,35,145,158,233,63,130,120,6.94,6.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,2018-10-02,0,2.57,3.36,3.3,0.389,0.298,0.303,45.14,51.22,27,27,6,5,30,34,40,45,83,78,156,79,44,78,6.74,6.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
240,2018-11-02,0,3.4,3.39,2.65,0.294,0.295,0.377,45.49,48.99,21,28,0,11,18,29,46,37,70,103,125,64,64,84,6.54,6.66,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
241,2018-11-02,2,5.18,4.05,1.85,0.193,0.247,0.541,54.38,59.81,25,50,6,10,26,58,36,30,86,163,216,84,79,117,6.69,6.99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
242,2018-12-02,0,1.4,5.3,12.0,0.714,0.189,0.083,50.54,39.02,47,19,5,4,43,19,22,35,151,76,190,64,111,61,6.97,6.62,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
243,2018-02-24,0,2.2,3.31,4.53,0.455,0.302,0.221,44.49,44.28,24,26,5,10,21,19,36,35,73,54,144,53,70,67,6.67,6.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
244,2018-02-24,1,3.49,3.2,2.79,0.287,0.312,0.358,44.13,56.71,32,25,1,6,19,26,23,38,76,90,166,88,61,79,6.77,6.67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
245,2018-02-24,1,1.75,3.95,5.62,0.571,0.253,0.178,43.35,43.78,32,25,5,5,36,26,38,50,89,91,147,60,75,70,6.74,6.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
246,2018-02-24,0,1.25,7.5,15.0,0.8,0.133,0.067,52.65,44.62,53,30,10,8,60,32,30,40,167,87,209,53,121,46,7.0,6.77,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
247,2018-02-24,0,2.47,3.42,3.6,0.405,0.292,0.278,47.86,47.46,27,31,5,7,34,31,47,46,82,77,187,55,82,66,6.67,6.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
248,2018-02-24,2,2.0,3.44,5.01,0.5,0.291,0.2,41.75,45.25,19,24,4,3,19,22,38,47,77,74,166,51,61,70,6.61,6.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
249,2018-02-25,2,9.5,5.6,1.51,0.105,0.179,0.662,49.06,64.11,26,49,7,11,24,50,40,24,96,151,203,105,96,131,6.75,6.95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
