,date,FTR,bk_H,bk_D,bk_A,Prob_bk_H,Prob_bk_D,Prob_bk_A,possession_h_moy,possession_a_moy,points_h,points_a,points_h_last_5,points_a_last_5,total_goals_h,total_goals_a,total_goals_taken_h,total_goals_taken_a,total_ontarget_h,total_ontarget_a,total_shot_off_target_h,total_shot_off_target_a,total_blocked_scoring_att_h,total_blocked_scoring_att_a,mean_rating_home,mean_rating_away,H_Arsenal,H_Aston Villa,H_Burnley,H_Chelsea,H_Crystal Palace,H_Everton,H_Hull,H_Leicester,H_Liverpool,H_Man City,H_Man United,H_Southampton,H_Stoke,H_Sunderland,H_Swansea,H_Tottenham,H_West Brom,H_West Ham,A_Arsenal,A_Aston Villa,A_Burnley,A_Chelsea,A_Crystal Palace,A_Everton,A_Hull,A_Leicester,A_Liverpool,A_Man City,A_Man United,A_Southampton,A_Stoke,A_Sunderland,A_Swansea,A_Tottenham,A_West Brom,A_West Ham
148,2014-12-28,1,5.0,3.75,1.92,0.2,0.267,0.521,53.92,58.09,26,42,6,13,25,37,13,10,70,97,130,55,49,72,6.94,7.18,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,2014-12-28,0,2.04,3.6,4.78,0.49,0.278,0.209,47.33,52.73,18,17,7,4,16,16,21,21,54,56,121,52,72,56,6.83,6.73,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
150,2014-12-28,1,3.3,3.62,2.43,0.303,0.276,0.412,54.78,60.49,27,29,10,13,19,26,22,18,68,72,118,45,58,56,6.84,6.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
151,2014-12-28,2,3.98,3.65,2.2,0.251,0.274,0.455,49.12,63.33,25,24,10,7,26,26,21,20,72,91,134,48,67,77,6.9,6.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,2014-12-29,0,1.73,4.0,5.55,0.578,0.25,0.18,51.58,51.76,22,24,8,7,19,19,21,17,76,52,128,40,82,38,6.88,6.87,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
153,2015-01-01,1,2.43,3.3,3.58,0.412,0.303,0.279,38.85,42.39,20,14,5,2,11,17,20,27,46,59,96,42,44,61,6.7,6.72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
154,2015-01-01,0,3.5,3.4,2.48,0.286,0.294,0.403,48.83,60.7,12,18,4,1,15,24,24,27,47,80,116,40,46,65,6.76,6.79,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
155,2015-01-01,1,1.44,5.04,9.05,0.694,0.198,0.11,51.07,44.39,25,13,8,3,23,15,22,27,87,57,124,55,85,49,6.9,6.74,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
156,2015-01-01,0,1.25,7.05,15.0,0.8,0.142,0.067,56.95,43.05,39,17,13,3,37,15,15,26,95,53,136,37,81,62,7.06,6.69,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
157,2015-01-01,0,3.0,3.45,2.84,0.333,0.29,0.352,54.02,63.33,27,27,7,10,26,28,14,21,71,98,160,48,50,83,6.92,7.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
