,date,FTR,bk_H,bk_D,bk_A,Prob_bk_H,Prob_bk_D,Prob_bk_A,possession_h_moy,possession_a_moy,points_h,points_a,points_h_last_5,points_a_last_5,total_goals_h,total_goals_a,total_goals_taken_h,total_goals_taken_a,total_ontarget_h,total_ontarget_a,total_shot_off_target_h,total_shot_off_target_a,total_blocked_scoring_att_h,total_blocked_scoring_att_a,mean_rating_home,mean_rating_away,H_Arsenal,H_Aston Villa,H_Bournemouth,H_Chelsea,H_Crystal Palace,H_Everton,H_Leicester,H_Liverpool,H_Man City,H_Man United,H_Norwich,H_Southampton,H_Stoke,H_Sunderland,H_Swansea,H_Tottenham,H_Watford,H_West Brom,H_West Ham,A_Arsenal,A_Aston Villa,A_Bournemouth,A_Chelsea,A_Crystal Palace,A_Everton,A_Leicester,A_Liverpool,A_Man City,A_Man United,A_Norwich,A_Southampton,A_Stoke,A_Sunderland,A_Swansea,A_Tottenham,A_Watford,A_West Brom,A_West Ham
159,2015-12-26,0,3.79,3.31,2.4,0.264,0.302,0.417,52.21,61.44,22,28,7,5,14,22,16,14,54,53,116,32,40,50,6.79,6.83,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
160,2015-12-26,0,2.05,3.42,4.86,0.488,0.292,0.206,48.31,39.42,12,20,2,6,13,17,24,23,59,50,108,37,52,32,6.65,6.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
161,2015-12-26,0,1.47,4.8,8.5,0.68,0.208,0.118,50.27,48.86,29,17,9,5,27,18,12,23,99,57,94,56,72,39,7.02,6.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
162,2015-12-28,0,1.54,4.86,8.5,0.649,0.206,0.118,55.49,52.98,33,20,10,11,30,22,18,31,96,72,137,36,73,57,7.07,6.74,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,2015-12-28,1,2.1,3.5,4.35,0.476,0.286,0.23,48.05,51.91,27,15,8,4,18,14,15,24,74,61,123,48,48,54,6.85,6.67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
164,2015-12-28,2,1.95,3.72,4.85,0.513,0.269,0.206,51.0,49.26,23,25,6,7,31,16,24,16,79,57,121,50,59,42,6.91,6.82,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
165,2015-12-28,1,2.62,3.38,3.22,0.382,0.296,0.311,58.86,58.73,28,18,2,5,22,21,16,27,59,71,105,61,52,76,6.79,6.76,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,2015-12-28,0,2.05,3.7,4.36,0.488,0.27,0.229,44.67,53.59,17,7,5,2,18,14,26,31,60,52,121,52,40,52,6.63,6.74,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,2015-12-28,2,3.92,3.55,2.42,0.255,0.282,0.413,47.95,54.37,26,32,13,11,21,30,17,12,66,109,112,37,66,74,6.86,7.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
168,2015-12-28,0,3.64,3.41,2.3,0.275,0.293,0.435,47.91,50.44,23,23,5,4,24,23,22,19,77,81,131,77,56,54,6.85,6.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
169,2015-12-29,1,4.4,4.1,1.91,0.227,0.244,0.524,45.61,58.7,35,32,10,9,34,31,25,19,82,108,130,54,54,85,6.99,6.96,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
170,2015-12-30,2,5.77,4.09,1.75,0.173,0.244,0.571,43.13,61.32,9,27,3,10,16,21,37,20,58,85,111,70,48,90,6.64,6.86,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
171,2016-02-01,1,1.95,3.75,4.33,0.513,0.267,0.231,44.39,52.98,36,20,10,10,34,22,25,33,86,75,143,36,54,61,6.99,6.72,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
